"","Country","Postcode.area"
"1","England","AL"
"2","England","B"
"3","England","BA"
"4","England","BB"
"5","England","BD"
"6","England","BH"
"7","England","BL"
"8","England","BN"
"9","England","BR"
"10","England","BS"
"11","England","CA"
"12","England","CB"
"13","England","CH"
"14","England","CM"
"15","England","CO"
"16","England","CR"
"17","England","CT"
"18","England","CV"
"19","England","CW"
"20","England","DA"
"21","England","DE"
"22","England","DG"
"23","England","DH"
"24","England","DL"
"25","England","DN"
"26","England","DT"
"27","England","DY"
"28","England","E"
"29","England","EC"
"30","England","EN"
"31","England","EX"
"32","England","FY"
"33","England","GIR"
"34","England","GL"
"35","England","GU"
"36","England","HA"
"37","England","HD"
"38","England","HG"
"39","England","HP"
"40","England","HR"
"41","England","HU"
"42","England","HX"
"43","England","IG"
"44","England","IP"
"45","England","KT"
"46","England","L"
"47","England","LA"
"48","England","LD"
"49","England","LE"
"50","England","LL"
"51","England","LN"
"52","England","LS"
"53","England","LU"
"54","England","M"
"55","England","ME"
"56","England","MK"
"57","England","N"
"58","England","NE"
"59","England","NG"
"60","England","NN"
"61","England","NP"
"62","England","NR"
"63","England","NW"
"64","England","OL"
"65","England","OX"
"66","England","PE"
"67","England","PL"
"68","England","PO"
"69","England","PR"
"70","England","RG"
"71","England","RH"
"72","England","RM"
"73","England","S"
"74","England","SE"
"75","England","SG"
"76","England","SK"
"77","England","SL"
"78","England","SM"
"79","England","SN"
"80","England","SO"
"81","England","SP"
"82","England","SR"
"83","England","SS"
"84","England","ST"
"85","England","SW"
"86","England","SY"
"87","England","TA"
"88","England","TD"
"89","England","TF"
"90","England","TN"
"91","England","TQ"
"92","England","TR"
"93","England","TS"
"94","England","TW"
"95","England","UB"
"96","England","W"
"97","England","WA"
"98","England","WC"
"99","England","WD"
"100","England","WF"
"101","England","WN"
"102","England","WR"
"103","England","WS"
"104","England","WV"
"105","England","YO"
"106","Scotland","AB"
"107","Scotland","DD"
"108","Scotland","DG"
"109","Scotland","EH"
"110","Scotland","FK"
"111","Scotland","G"
"112","Scotland","HS"
"113","Scotland","IV"
"114","Scotland","KA"
"115","Scotland","KW"
"116","Scotland","KY"
"117","Scotland","ML"
"118","Scotland","PA"
"119","Scotland","PH"
"120","Scotland","TD"
"121","Scotland","ZE"
"122","Wales","CF"
"123","Wales","CH"
"124","Wales","GL"
"125","Wales","HR"
"126","Wales","LD"
"127","Wales","LL"
"128","Wales","NP"
"129","Wales","SA"
"130","Wales","SY"
"131","Northern Ireland","BT"
